participant,Practice,Block,taskNr,size1,size2,Position,orientation,method,estimateRatio-Percentage,time,ParticipantAngle,condition,totaltime,code
6,false,1,5,0.68,1.00,1,horizontal,ratioPercentage,60,11.63104,163.7808,position1-horizontal,12708.28,0.68
6,false,1,6,0.88,1.00,2,horizontal,ratioPercentage,91,26.42902,170.6199,position2-horizontal,26431.31,0.88
6,false,1,7,0.18,1.00,0,horizontal,ratioPercentage,15,25.39706,80.90291,position0-horizontal,26234.7,0.18
6,false,1,8,0.38,1.00,2,horizontal,ratioPercentage,15,13.45256,170.2354,position2-horizontal,14133.3,0.38
6,false,1,9,0.58,1.00,0,horizontal,ratioPercentage,59,21.368,82.25328,position0-horizontal,22015.42,0.58
6,false,1,10,0.68,1.00,2,horizontal,ratioPercentage,65,19.4509,170.1079,position2-horizontal,19982.92,0.68
6,false,1,11,0.48,1.00,1,horizontal,ratioPercentage,45,11.86911,162.6168,position1-horizontal,11873.78,0.48
6,false,1,12,0.58,1.00,2,horizontal,ratioPercentage,50,9.865631,169.938,position2-horizontal,9874.281,0.58
6,false,1,13,0.28,1.00,1,horizontal,ratioPercentage,20,11.42563,162.4839,position1-horizontal,11426.66,0.28
6,false,1,14,0.88,1.00,0,horizontal,ratioPercentage,90,17.26511,80.98847,position0-horizontal,18106.16,0.88
6,false,1,15,0.48,1.00,0,horizontal,ratioPercentage,45,17.28946,82.70613,position0-horizontal,17291,0.48
6,false,1,16,0.28,1.00,2,horizontal,ratioPercentage,15,18.15543,170.0595,position2-horizontal,18854.88,0.28
6,false,1,17,0.58,1.00,1,horizontal,ratioPercentage,60,10.52185,162.5829,position1-horizontal,10521.97,0.58
6,false,1,18,0.38,1.00,1,horizontal,ratioPercentage,40,11.40433,162.5636,position1-horizontal,11404.69,0.38
6,false,1,19,0.78,1.00,2,horizontal,ratioPercentage,73,9.699829,169.9832,position2-horizontal,9706.594,0.78
6,false,1,20,0.38,1.00,0,horizontal,ratioPercentage,40,8.593384,85.6901,position0-horizontal,9404.719,0.38
6,false,1,21,0.18,1.00,1,horizontal,ratioPercentage,10,15.5903,162.2673,position1-horizontal,16241.34,0.18
6,false,1,22,0.18,1.00,2,horizontal,ratioPercentage,8,13.36063,169.8574,position2-horizontal,13370.31,0.18
6,false,1,23,0.88,1.00,1,horizontal,ratioPercentage,89,11.69977,162.1171,position1-horizontal,11705.81,0.88
6,false,2,0,0.28,1.00,1,vertical,ratioPercentage,28,15.45703,163.2367,position1-vertical,15459,0.28
6,false,2,1,0.78,1.00,2,vertical,ratioPercentage,80,13.40536,170.2407,position2-vertical,13415,0.78
6,false,2,2,0.88,1.00,2,vertical,ratioPercentage,90,10.3486,170.2462,position2-vertical,10354.38,0.88
6,false,2,3,0.68,1.00,0,vertical,ratioPercentage,60,10.57727,91.61074,position0-vertical,11728.69,0.68
6,false,2,4,0.38,1.00,0,vertical,ratioPercentage,40,16.67609,91.92223,position0-vertical,16676.56,0.38
6,false,2,5,0.38,1.00,1,vertical,ratioPercentage,40,11.5473,163.212,position1-vertical,12082.31,0.38
6,false,2,6,0.18,1.00,2,vertical,ratioPercentage,15,17.55096,170.2735,position2-vertical,17559.25,0.18
6,false,2,7,0.68,1.00,2,vertical,ratioPercentage,70,15.13037,170.2523,position2-vertical,15134.94,0.68
6,false,2,8,0.58,1.00,1,vertical,ratioPercentage,55,17.15216,163.0577,position1-vertical,17155.13,0.58
6,false,2,9,0.78,1.00,1,vertical,ratioPercentage,70,9.346863,162.8784,position1-vertical,9350.313,0.78
6,false,2,10,0.58,1.00,2,vertical,ratioPercentage,55,9.642029,170.0124,position2-vertical,9650.688,0.58
6,false,2,11,0.18,1.00,1,vertical,ratioPercentage,20,17.78412,162.8846,position1-vertical,17786.56,0.18
6,false,2,12,0.78,1.00,0,vertical,ratioPercentage,70,20.36243,93.17959,position0-vertical,21278.25,0.78
6,false,2,13,0.28,1.00,0,vertical,ratioPercentage,20,12.18219,91.94173,position0-vertical,12186.44,0.28
6,false,2,14,0.48,1.00,2,vertical,ratioPercentage,40,13.80249,170.1096,position2-vertical,14387,0.48
6,false,2,15,0.58,1.00,0,vertical,ratioPercentage,50,6.294495,96.02287,position0-vertical,6869.75,0.58
6,false,2,16,0.28,1.00,2,vertical,ratioPercentage,30,18.67273,170.1144,position2-vertical,19167.19,0.28
6,false,2,17,0.88,1.00,0,vertical,ratioPercentage,90,10.38556,93.10869,position0-vertical,10912.75,0.88
6,false,2,18,0.18,1.00,0,vertical,ratioPercentage,20,10.46307,92.77628,position0-vertical,10466.44,0.18
6,false,2,19,0.48,1.00,0,vertical,ratioPercentage,45,11.56854,93.02255,position0-vertical,11572.13,0.48
6,false,2,20,0.48,1.00,1,vertical,ratioPercentage,50,13.18469,162.3981,position1-vertical,13682.81,0.48
6,false,2,21,0.68,1.00,1,vertical,ratioPercentage,70,14.56104,162.3987,position1-vertical,14565.25,0.68
6,false,2,22,0.38,1.00,2,vertical,ratioPercentage,40,6.696533,169.7608,position2-vertical,6702.125,0.38
6,false,2,23,0.88,1.00,1,vertical,ratioPercentage,90,9.111206,162.4438,position1-vertical,9114.688,0.88
7,false,1,0,0.28,1.00,0,vertical,ratioPercentage,28,8.85009,95.68801,position0-vertical,8857.543,0.28
7,false,1,1,0.38,1.00,0,vertical,ratioPercentage,35,7.780033,95.52366,position0-vertical,7785.498,0.38
7,false,1,2,0.28,1.00,1,vertical,ratioPercentage,26,15.3203,166.1853,position1-vertical,16140.27,0.28
7,false,1,3,0.78,1.00,1,vertical,ratioPercentage,79,6.767445,166.2783,position1-vertical,6769.363,0.78
7,false,1,4,0.88,1.00,0,vertical,ratioPercentage,91,6.79401,96.92006,position0-vertical,7248.785,0.88
7,false,1,5,0.18,1.00,2,vertical,ratioPercentage,14,9.36792,171.6597,position2-vertical,9829.461,0.18
7,false,1,6,0.58,1.00,0,vertical,ratioPercentage,56,8.336235,95.67275,position0-vertical,8757.211,0.58
7,false,1,7,0.88,1.00,1,vertical,ratioPercentage,90,8.04718,165.811,position1-vertical,8433.172,0.88
